NAME,ASIAN/PI,category,pop_est,new_category
Nevada,269934,NH.WHITE,1476377,NH WHITE
Nevada,269934,HISPANIC.WHITE,777334,NA
Nevada,269934,NH.BLACK,276929,BLACK
Nevada,269934,HISPANIC.BLACK,28919,NA
Nevada,269934,NH.AI/AN,26067,AI/AN
Nevada,269934,HISPANIC.AI/AN,24804,NA
Nevada,269934,NH.ASIAN,250856,ASIAN
Nevada,269934,HISPANIC.ASIAN,13555,NA
Nevada,269934,NH.NH/PI,19078,NH/PI
Nevada,269934,HISPANIC.NH/PI,4884,NA
Nevada,269934,NH.MULTI,103937,MULTI
Nevada,269934,HISPANIC.MULTI,31652,NA
Nevada,269934,ETH_NH,2153244,NH
Nevada,269934,ETH_HISPANIC,881148,HISPANIC
Nevada,269934,MALE,1521555,MALE
Nevada,269934,FEMALE,1512837,FEMALE
Nevada,269934,AI/AN/NH/PI,45145,AI/AN/NH/PI
New Hampshire,40337,TOTAL_POP,1356458,TOTAL_POP
New Hampshire,40337,NH.WHITE,1220322,NH WHITE
New Hampshire,40337,HISPANIC.WHITE,43895,NA
